"areaCode","villcode","countyname","countyCode","towncode","townname","villname","area_nickname","liCodeA"
"6500011","65000060056","新北市","65000","65000060","新店區","安和里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000060057","新北市","65000","65000060","新店區","吉祥里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000060058","新北市","65000","65000060","新店區","寶福里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000060059","新北市","65000","65000060","新店區","小城里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000060060","新北市","65000","65000060","新店區","香坡里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000060061","新北市","65000","65000060","新店區","建國里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000060062","新北市","65000","65000060","新店區","復興里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000060063","新北市","65000","65000060","新店區","美城里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000060064","新北市","65000","65000060","新店區","安昌里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000060065","新北市","65000","65000060","新店區","長春里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000060066","新北市","65000","65000060","新店區","新和里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000060067","新北市","65000","65000060","新店區","永平里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000060068","新北市","65000","65000060","新店區","達觀里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000060069","新北市","65000","65000060","新店區","華城里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000180001","新北市","65000","65000180","深坑區","深坑里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000180002","新北市","65000","65000180","深坑區","萬順里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000180003","新北市","65000","65000180","深坑區","土庫里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000180004","新北市","65000","65000180","深坑區","昇高里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000180005","新北市","65000","65000180","深坑區","阿柔里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000180006","新北市","65000","65000180","深坑區","埔新里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000180007","新北市","65000","65000180","深坑區","萬福里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000180008","新北市","65000","65000180","深坑區","賴仲里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000190001","新北市","65000","65000190","石碇區","石碇里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000190002","新北市","65000","65000190","石碇區","潭邊里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000190003","新北市","65000","65000190","石碇區","隆盛里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000190004","新北市","65000","65000190","石碇區","烏塗里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000190005","新北市","65000","65000190","石碇區","彭山里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000190006","新北市","65000","65000190","石碇區","豐田里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000190007","新北市","65000","65000190","石碇區","永定里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000190008","新北市","65000","65000190","石碇區","中民里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000190009","新北市","65000","65000190","石碇區","光明里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000190010","新北市","65000","65000190","石碇區","豐林里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000190011","新北市","65000","65000190","石碇區","永安里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000190012","新北市","65000","65000190","石碇區","格頭里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000200001","新北市","65000","65000200","坪林區","粗窟里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000200002","新北市","65000","65000200","坪林區","坪林里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000200003","新北市","65000","65000200","坪林區","大林里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000200004","新北市","65000","65000200","坪林區","石𥕢里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000200005","新北市","65000","65000200","坪林區","上德里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000200006","新北市","65000","65000200","坪林區","水德里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000200007","新北市","65000","65000200","坪林區","漁光里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000290001","新北市","65000","65000290","烏來區","烏來里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000290002","新北市","65000","65000290","烏來區","忠治里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000290003","新北市","65000","65000290","烏來區","福山里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6500011","65000290004","新北市","65000","65000290","烏來區","信賢里","新店區、深坑區、石碇區、坪林區、烏來區",NA
