county,area,no
63000,03,A01
63000,04,A02
63000,06,A03
63000,07,A04
63000,08,A05
65000,01,A06
65000,07,A07
65000,08,A08
65000,09,A09
65000,12,A10
68000,01,A11
68000,02,A12
68000,03,A13
68000,04,A14
68000,05,A15
68000,06,A16
66000,04,A17
66000,05,A18
66000,06,A19
10009,01,A20
10015,01,A21
10014,01,A22
10017,01,A23
10018,01,A24
10018,NA,A25
65000,11,B01
66000,02,B02
66000,03,B03
66000,08,B04
10004,02,B05
10008,01,B06
10008,02,B07
